model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x0000019CD6E435B0>,"{'iterations': 1000, 'learning_rate': 0.0001, 'depth': 5, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.0001, l2=3, 1000 iter, depth=5",0.5,0.6754,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD72A7820>,"{'iterations': 1000, 'learning_rate': 0.0001, 'depth': 5, 'l2_leaf_reg': 4, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.0001, l2=4, 1000 iter, depth=5",0.5,0.6816,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD753A4C0>,"{'iterations': 1000, 'learning_rate': 0.0001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.0001, l2=5, 1000 iter, depth=5",0.5,0.6868,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6C3D8E0>,"{'iterations': 1000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.001, l2=1, 1000 iter, depth=5",0.5,0.6517,0.3204,0.4143,0.2613,0.6215,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6A89D90>,"{'iterations': 1000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 2, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.001, l2=2, 1000 iter, depth=5",0.5,0.6498,0.2921,0.3881,0.2342,0.6123,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD601A040>,"{'iterations': 1000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.001, l2=3, 1000 iter, depth=5",0.5,0.6461,0.2824,0.4068,0.2162,0.6246,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD71122E0>,"{'iterations': 1000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 4, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.001, l2=4, 1000 iter, depth=5",0.5,0.6458,0.2635,0.3929,0.1982,0.6215,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7AB97F0>,"{'iterations': 1000, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.001, l2=5, 1000 iter, depth=5",0.5,0.6505,0.2667,0.4074,0.1982,0.6277,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD5FFBAC0>,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 5, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.01, l2=1, 1000 iter, depth=5",0.5,0.5876,0.5032,0.3892,0.7117,0.52,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6990850>,"{'iterations': 1000, 'learning_rate': 0.01, 'depth': 5, 'l2_leaf_reg': 2, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.01, l2=2, 1000 iter, depth=5",0.5,0.5823,0.4797,0.3838,0.6396,0.5262,False,0,0,0,0,0
